ISO3,name,region,subregion
BEL,Belgium,Europe,Western Europe
BGR,Bulgaria,Europe,Eastern Europe
BRA,Brazil,Americas,Latin America and the Caribbean
CHE,Switzerland,Europe,Western Europe
CHN,China,Asia,Eastern Asia
CSK,Czechoslovakia,Europe,Eastern Europe
DEU,Germany,Europe,Western Europe
DNK,Denmark,Europe,Northern Europe
ESP,Spain,Europe,Southern Europe
EST,Estonia,Europe,Northern Europe
FRA,France,Europe,Western Europe
GBR,United Kingdom,Europe,Northern Europe
GRC,Greece,Europe,Southern Europe
HUN,Hungary,Europe,Eastern Europe
ITA,Italy,Europe,Southern Europe
JPN,Japan,Asia,Eastern Asia
LTU,Lithuania,Europe,Northern Europe
NLD,Netherlands,Europe,Western Europe
NOR,Norway,Europe,Northern Europe
POL,Poland,Europe,Eastern Europe
TUR,Turkey,Asia,Western Asia
YUG,Yugoslavia,Europe,Southern Europe
