oldname,split,newname,casename
02_Wimbledon_Requete.pdf,odd-english,PCIJ_A_01_Wimbledon_GBR-FRA-ITA-JPN_DEU_1923-01-16_APP_01_NA_NA_BI.pdf,S.S. Wimbledon
02_Wimbledon_Requete_Intervetion.pdf,even-english,PCIJ_A_01_Wimbledon_GBR-FRA-ITA-JPN_DEU_1923-05-22_APP_01_NA_NA_BI.pdf,S.S. Wimbledon
01_Wimbledon_Arret_06_1923.pdf,even-english,PCIJ_A_01_Wimbledon_GBR-FRA-ITA-JPN_DEU_1923-06-28_JUD_01_IN_00_BI.pdf,S.S. Wimbledon
03_Wimbledon_Arret_08_1923.pdf,even-english,PCIJ_A_01_Wimbledon_GBR-FRA-ITA-JPN_DEU_1923-08-17_JUD_01_ME_00_BI.pdf,S.S. Wimbledon
04_Wimbledon_Opinion_Shucking_08_1923.pdf,even-english,PCIJ_A_01_Wimbledon_GBR-FRA-ITA-JPN_DEU_1923-08-17_JUD_01_ME_01_BI.pdf,S.S. Wimbledon
05_Wimbledon_Opinion_Anzilotti_et_Huber_08_1923.pdf,even-english,PCIJ_A_01_Wimbledon_GBR-FRA-ITA-JPN_DEU_1923-08-17_JUD_01_ME_02_BI.pdf,S.S. Wimbledon
06_Mavrommatis_en_Palestine_Arret.pdf,odd-english,PCIJ_A_02_MavrommatisPalestine_GRC_GBR_1924-08-30_JUD_01_PO_00_BI.pdf,Mavrommatis Palestine Concessions
07_Mavrommatis_en_Palestine_Opinion_Finlay.pdf,even-english,PCIJ_A_02_MavrommatisPalestine_GRC_GBR_1924-08-30_JUD_01_PO_01_BI.pdf,Mavrommatis Palestine Concessions
08_Mavrommatis_en_Palestine_Opinion_Moore.pdf,even-english,PCIJ_A_02_MavrommatisPalestine_GRC_GBR_1924-08-30_JUD_01_PO_02_BI.pdf,Mavrommatis Palestine Concessions
09_Mavrommatis_en_Palestine_Opinion_Bustamante.pdf,even-english,PCIJ_A_02_MavrommatisPalestine_GRC_GBR_1924-08-30_JUD_01_PO_03_BI.pdf,Mavrommatis Palestine Concessions
10_Mavrommatis_en_Palestine_Opinion_Oda.pdf,even-english,PCIJ_A_02_MavrommatisPalestine_GRC_GBR_1924-08-30_JUD_01_PO_04_BI.pdf,Mavrommatis Palestine Concessions
11_Mavrommatis_en_Palestine_Opinion_Pessoa.pdf,even-english,PCIJ_A_02_MavrommatisPalestine_GRC_GBR_1924-08-30_JUD_01_PO_05_BI.pdf,Mavrommatis Palestine Concessions
12_Traite_de_Neuilly_Article_179_Arret.pdf,odd-english,PCIJ_A_03_Neuilly_BGR_GRC_1924-09-12_JUD_01_ME_00_BI.pdf,Treaty of Neuilly‚ Article 179‚ Annex‚ Paragraph 4 (Interpretation)
13_Traite_de_Neuilly_Article_179_Annexe.pdf,nosplit,PCIJ_A_03_Neuilly_BGR_GRC_1924-09-12_ANX_01_NA_NA_EN.pdf,Treaty of Neuilly‚ Article 179‚ Annex‚ Paragraph 4 (Interpretation)
14_Interpretation_Arret_No_3.pdf,odd-english,PCIJ_A_04_InterpretationNo3_BGR_GRC_1925-03-26_JUD_01_ME_00_BI.pdf,Interpretation of Judgment No.3
15_Mavrommatis_a_Jerusalem_Arret_19250326.pdf,odd-english,PCIJ_A_05_MavrommatisJerusalem_GRC_GBR_1925-03-26_JUD_01_ME_00_BI.pdf,Mavrommatis Jerusalem Concessions
16_Interets_allemands_en_Haute_Silesie_polonaise_Competence_Arret.pdf,odd-english,PCIJ_A_06_GermanInterestsUpperSilesia_DEU_POL_1925-08-25_JUD_01_PO_00_BI.pdf,Certain German Interests in Polish Upper Silesia (Preliminary Objections)
17_Interets_allemands_en_Haute_Silesie_polonaise_Competence_Observations_Anzilotti.pdf,even-english,PCIJ_A_06_GermanInterestsUpperSilesia_DEU_POL_1925-08-25_JUD_01_PO_01_BI.pdf,Certain German Interests in Polish Upper Silesia (Preliminary Objections)
18_Interets_allemands_en_Haute_Silesie_polonaise_Competence_Opinion_Rostworowski.pdf,even-english,PCIJ_A_06_GermanInterestsUpperSilesia_DEU_POL_1925-08-25_JUD_01_PO_02_BI.pdf,Certain German Interests in Polish Upper Silesia (Preliminary Objections)
17_Interets_allemands_en_Haute_Silesie_polonaise_Fond_Arret.pdf,odd-english,PCIJ_A_07_GermanInterestsUpperSilesia_DEU_POL_1926-05-25_JUD_01_ME_00_BI.pdf,Certain German Interests in Polish Upper Silesia (Merits)
18_Interets_allemands_en_Haute_Silesie_polonaise_Fond_Observations_Finlay.pdf,even-english,PCIJ_A_07_GermanInterestsUpperSilesia_DEU_POL_1926-05-25_JUD_01_ME_01_BI.pdf,Certain German Interests in Polish Upper Silesia (Merits)
19_Interets_allemands_en_Haute_Silesie_polonaise_Fond_Opinion_Rostworowski.pdf,even-english,PCIJ_A_07_GermanInterestsUpperSilesia_DEU_POL_1926-05-25_JUD_01_ME_02_BI.pdf,Certain German Interests in Polish Upper Silesia (Merits)
